head,relation,tail,label
DB03010,CELL_DRUG,UM-UC-3,1
DB03010,CELL_DRUG,SW756,1
DB03010,CELL_DRUG,NCI-H727,1
DB03010,CELL_DRUG,Calu-6,1
DB03010,CELL_DRUG,LU-65,1
DB03010,CELL_DRUG,NCI-H1355,1
DB03010,CELL_DRUG,NCI-H1792,1
DB03010,CELL_DRUG,HPAF-II,1
DB03010,CELL_DRUG,MIA-PaCa-2,1
DB03010,CELL_DRUG,SHP-77,1
DB03010,CELL_DRUG,NCI-H2009,1
DB03010,CELL_DRUG,SW1573,1
DB03010,CELL_DRUG,SW900,1
DB03010,CELL_DRUG,TE-5,1
DB03010,CELL_DRUG,HCC1954,1
DB03010,CELL_DRUG,HCC1143,1
DB03010,CELL_DRUG,HCC1187,1
DB03010,CELL_DRUG,HCC1599,1
DB03010,CELL_DRUG,HCC1937,1
DB03010,CELL_DRUG,HCC2157,1
DB03010,CELL_DRUG,HCC2218,1
DB03010,CELL_DRUG,HCC38,1
DB03010,CELL_DRUG,BB30-HNC,1
DB03010,CELL_DRUG,BB65-RCC,1
DB03010,CELL_DRUG,BEN,1
DB03010,CELL_DRUG,BHY,1
DB03010,CELL_DRUG,Ca9-22,1
DB03010,CELL_DRUG,CAL-12T,1
DB03010,CELL_DRUG,CAL-33,1
DB03010,CELL_DRUG,CP50-MEL-B,1
DB03010,CELL_DRUG,CP66-MEL,1
DB03010,CELL_DRUG,CPC-N,1
DB03010,CELL_DRUG,CTV-1,1
DB03010,CELL_DRUG,EBC-1,1
DB03010,CELL_DRUG,EC-GI-10,1
DB03010,CELL_DRUG,EPLC-272H,1
DB03010,CELL_DRUG,HA7-RCC,1
DB03010,CELL_DRUG,HCE-4,1
DB03010,CELL_DRUG,HO-1-u-1,1
DB03010,CELL_DRUG,HSC-2,1
DB03010,CELL_DRUG,IM-9,1
DB03010,CELL_DRUG,IST-SL1,1
DB03010,CELL_DRUG,IST-SL2,1
DB03010,CELL_DRUG,J82,1
DB03010,CELL_DRUG,KOSC-2,1
DB03010,CELL_DRUG,KP-4,1
DB03010,CELL_DRUG,KYSE-140,1
DB03010,CELL_DRUG,KYSE-410,1
DB03010,CELL_DRUG,KYSE-520,1
DB03010,CELL_DRUG,KYSE-70,1
DB03010,CELL_DRUG,LB1047-RCC,1
DB03010,CELL_DRUG,LB2241-RCC,1
DB03010,CELL_DRUG,LB2518-MEL,1
DB03010,CELL_DRUG,LB373-MEL-D,1
DB03010,CELL_DRUG,LB647-SCLC,1
DB03010,CELL_DRUG,LB771-HNC,1
DB03010,CELL_DRUG,LB831-BLC,1
DB03010,CELL_DRUG,LB996-RCC,1
DB03010,CELL_DRUG,LCLC-103H,1
DB03010,CELL_DRUG,LU-134-A,1
DB03010,CELL_DRUG,LXF-289,1
DB03010,CELL_DRUG,MS-1,1
DB03010,CELL_DRUG,MZ1-PC,1
DB03010,CELL_DRUG,MZ7-mel,1
DB03010,CELL_DRUG,NCI-H1304,1
DB03010,CELL_DRUG,NCI-H292,1
DB03010,CELL_DRUG,NCI-H510A,1
DB03010,CELL_DRUG,PC-14,1
DB03010,CELL_DRUG,SBC-3,1
DB03010,CELL_DRUG,SK-MM-2,1
DB03010,CELL_DRUG,TE-15,1
DB03010,CELL_DRUG,BE2-M17,1
DB03010,CELL_DRUG,KELLY,1
DB03010,CELL_DRUG,SIMA,1
DB03010,CELL_DRUG,TE-1,1
DB03010,CELL_DRUG,TE-10,1
DB03010,CELL_DRUG,TE-8,1
DB03010,CELL_DRUG,CAPAN-1,1
DB03010,CELL_DRUG,OVCAR-3,1
DB03010,CELL_DRUG,PC-3,1
DB03010,CELL_DRUG,DU-145,1
DB03010,CELL_DRUG,HCT-116,1
DB03010,CELL_DRUG,HCT-15,1
DB03010,CELL_DRUG,HL-60,1
DB03010,CELL_DRUG,HT-29,1
DB03010,CELL_DRUG,K-562,1
DB03010,CELL_DRUG,NCI-H226,1
DB03010,CELL_DRUG,NCI-H23,1
DB03010,CELL_DRUG,NCI-H460,1
DB03010,CELL_DRUG,NCI-H522,1
DB03010,CELL_DRUG,MCF7,1
DB03010,CELL_DRUG,786-0,1
DB03010,CELL_DRUG,A498,1
DB03010,CELL_DRUG,ACHN,1
DB03010,CELL_DRUG,CCRF-CEM,1
DB03010,CELL_DRUG,SK-MEL-2,1
DB03010,CELL_DRUG,SK-MEL-5,1
DB03010,CELL_DRUG,MOLT-4,1
DB03010,CELL_DRUG,SK-OV-3,1
DB03010,CELL_DRUG,MDA-MB-231,1
DB03010,CELL_DRUG,COLO-205,1
DB03010,CELL_DRUG,SW620,1
DB03010,CELL_DRUG,CAKI-1,1
DB03010,CELL_DRUG,RPMI-8226,1
DB03010,CELL_DRUG,SR,1
DB03010,CELL_DRUG,OVCAR-5,1
DB03010,CELL_DRUG,HCC2998,1
DB03010,CELL_DRUG,HOP-62,1
DB03010,CELL_DRUG,HOP-92,1
DB03010,CELL_DRUG,M14,1
DB03010,CELL_DRUG,UACC-62,1
DB03010,CELL_DRUG,UACC-257,1
DB03010,CELL_DRUG,RXF393,1
DB03010,CELL_DRUG,SN12C,1
DB03010,CELL_DRUG,TK10,1
DB03010,CELL_DRUG,U031,1
DB03010,CELL_DRUG,SNB75,1
DB03010,CELL_DRUG,U251,1
DB03010,CELL_DRUG,SF539,1
DB03010,CELL_DRUG,SF295,1
DB03010,CELL_DRUG,SF268,1
DB03010,CELL_DRUG,KM12,1
DB03010,CELL_DRUG,OVCAR-4,1
DB03010,CELL_DRUG,OVCAR-8,1
DB03010,CELL_DRUG,BxPC-3,1
DB03010,CELL_DRUG,BHT-101,1
DB03010,CELL_DRUG,Becker,1
DB03010,CELL_DRUG,BE-13,1
DB03010,CELL_DRUG,ARH-77,1
DB03010,CELL_DRUG,AGS,1
DB03010,CELL_DRUG,ABC-1,1
DB03010,CELL_DRUG,A2058,1
DB03010,CELL_DRUG,A375,1
DB03010,CELL_DRUG,A253,1
DB03010,CELL_DRUG,8305C,1
DB03010,CELL_DRUG,647-V,1
DB03010,CELL_DRUG,639-V,1
DB03010,CELL_DRUG,697,1
DB03010,CELL_DRUG,BT-20,1
DB03010,CELL_DRUG,A2780,1
DB03010,CELL_DRUG,COR-L105,1
DB03010,CELL_DRUG,COLO-824,1
DB03010,CELL_DRUG,COLO-800,1
DB03010,CELL_DRUG,COLO-680N,1
DB03010,CELL_DRUG,COLO-679,1
DB03010,CELL_DRUG,CHP-212,1
DB03010,CELL_DRUG,CFPAC-1,1
DB03010,CELL_DRUG,CCF-STTG1,1
DB03010,CELL_DRUG,Ca-Ski,1
DB03010,CELL_DRUG,Caov-3,1
DB03010,CELL_DRUG,CAL-120,1
DB03010,CELL_DRUG,CAL-62,1
DB03010,CELL_DRUG,Daudi,1
DB03010,CELL_DRUG,DB,1
DB03010,CELL_DRUG,Daoy,1
DB03010,CELL_DRUG,DBTRG-05MG,1
DB03010,CELL_DRUG,DEL,1
DB03010,CELL_DRUG,Detroit562,1
DB03010,CELL_DRUG,DK-MG,1
DB03010,CELL_DRUG,DJM-1,1
DB03010,CELL_DRUG,DOHH-2,1
DB03010,CELL_DRUG,DoTc2-4510,1
DB03010,CELL_DRUG,DU-4475,1
DB03010,CELL_DRUG,EB2,1
DB03010,CELL_DRUG,ECC10,1
DB03010,CELL_DRUG,EFM-19,1
DB03010,CELL_DRUG,EFO-27,1
DB03010,CELL_DRUG,EGI-1,1
DB03010,CELL_DRUG,EHEB,1
DB03010,CELL_DRUG,EM-2,1
DB03010,CELL_DRUG,EoL-1-cell,1
DB03010,CELL_DRUG,ETK-1,1
DB03010,CELL_DRUG,EVSA-T,1
DB03010,CELL_DRUG,FADU,1
DB03010,CELL_DRUG,FTC-133,1
DB03010,CELL_DRUG,G-361,1
DB03010,CELL_DRUG,GAMG,1
DB03010,CELL_DRUG,GCIY,1
DB03010,CELL_DRUG,GDM-1,1
DB03010,CELL_DRUG,GI-1,1
DB03010,CELL_DRUG,GI-ME-N,1
DB03010,CELL_DRUG,GR-ST,1
DB03010,CELL_DRUG,GCT,1
DB03010,CELL_DRUG,ESS-1,1
DB03010,CELL_DRUG,H4,1
DB03010,CELL_DRUG,H9,1
DB03010,CELL_DRUG,HC-1,1
DB03010,CELL_DRUG,HCC1569,1
DB03010,CELL_DRUG,HCC1806,1
DB03010,CELL_DRUG,HCC70,1
DB03010,CELL_DRUG,HD-MY-Z,1
DB03010,CELL_DRUG,HEC-1,1
DB03010,CELL_DRUG,HEL,1
DB03010,CELL_DRUG,HGC-27,1
DB03010,CELL_DRUG,HH,1
DB03010,CELL_DRUG,HLE,1
DB03010,CELL_DRUG,HMV-II,1
DB03010,CELL_DRUG,HOS,1
DB03010,CELL_DRUG,HSC-3,1
DB03010,CELL_DRUG,HSC-4,1
DB03010,CELL_DRUG,HT,1
DB03010,CELL_DRUG,HT-1080,1
DB03010,CELL_DRUG,HT-1197,1
DB03010,CELL_DRUG,HT-144,1
DB03010,CELL_DRUG,HT-3,1
DB03010,CELL_DRUG,HuCCT1,1
DB03010,CELL_DRUG,HuH-7,1
DB03010,CELL_DRUG,HuTu-80,1
DB03010,CELL_DRUG,IGR-1,1
DB03010,CELL_DRUG,IMR-5,1
DB03010,CELL_DRUG,IPC-298,1
DB03010,CELL_DRUG,IST-MEL1,1
DB03010,CELL_DRUG,IST-MES1,1
DB03010,CELL_DRUG,JEG-3,1
DB03010,CELL_DRUG,JiyoyeP-2003,1
DB03010,CELL_DRUG,KALS-1,1
DB03010,CELL_DRUG,KARPAS-45,1
DB03010,CELL_DRUG,KARPAS-422,1
DB03010,CELL_DRUG,KE-37,1
DB03010,CELL_DRUG,KG-1,1
DB03010,CELL_DRUG,KINGS-1,1
DB03010,CELL_DRUG,KMOE-2,1
DB03010,CELL_DRUG,KMS-12-BM,1
DB03010,CELL_DRUG,KNS-42,1
DB03010,CELL_DRUG,HuP-T3,1
DB03010,CELL_DRUG,HuP-T4,1
DB03010,CELL_DRUG,HT55,1
DB03010,CELL_DRUG,HT-115,1
DB03010,CELL_DRUG,GP5d,1
DB03010,CELL_DRUG,G-402,1
DB03010,CELL_DRUG,G-401,1
DB03010,CELL_DRUG,KU812,1
DB03010,CELL_DRUG,KS-1,1
DB03010,CELL_DRUG,KYSE-150,1
DB03010,CELL_DRUG,KYSE-180,1
DB03010,CELL_DRUG,KYSE-270,1
DB03010,CELL_DRUG,KYSE-450,1
DB03010,CELL_DRUG,KYSE-510,1
DB03010,CELL_DRUG,L-428,1
DB03010,CELL_DRUG,L-540,1
DB03010,CELL_DRUG,LAMA-84,1
DB03010,CELL_DRUG,LC-2-ad,1
DB03010,CELL_DRUG,LC4-1,1
DB03010,CELL_DRUG,LNCaP-Clone-FGC,1
DB03010,CELL_DRUG,LOUCY,1
DB03010,CELL_DRUG,LoVo,1
DB03010,CELL_DRUG,LS-123,1
DB03010,CELL_DRUG,LS-411N,1
DB03010,CELL_DRUG,LS-513,1
DB03010,CELL_DRUG,LU-99A,1
DB03010,CELL_DRUG,MC116,1
DB03010,CELL_DRUG,MC-IXC,1
DB03010,CELL_DRUG,MDA-MB-361,1
DB03010,CELL_DRUG,MDA-MB-468,1
DB03010,CELL_DRUG,MEL-JUSO,1
DB03010,CELL_DRUG,MEG-01,1
DB03010,CELL_DRUG,MES-SA,1
DB03010,CELL_DRUG,MFE-296,1
DB03010,CELL_DRUG,MHH-ES-1,1
DB03010,CELL_DRUG,MHH-NB-11,1
DB03010,CELL_DRUG,MHH-PREB-1,1
DB03010,CELL_DRUG,MKN1,1
DB03010,CELL_DRUG,MKN28,1
DB03010,CELL_DRUG,ML-2,1
DB03010,CELL_DRUG,MLMA,1
DB03010,CELL_DRUG,MOG-G-CCM,1
DB03010,CELL_DRUG,MOG-G-UVW,1
DB03010,CELL_DRUG,MONO-MAC-6,1
DB03010,CELL_DRUG,MPP-89,1
DB03010,CELL_DRUG,MRK-nu-1,1
DB03010,CELL_DRUG,MV-4-11,1
DB03010,CELL_DRUG,NALM-6,1
DB03010,CELL_DRUG,NAMALWA,1
DB03010,CELL_DRUG,NB69,1
DB03010,CELL_DRUG,NCI-H520,1
DB03010,CELL_DRUG,SNU-1,1
DB03010,CELL_DRUG,SNU-5,1
DB03010,CELL_DRUG,NH-12,1
DB03010,CELL_DRUG,NKM-1,1
DB03010,CELL_DRUG,NMC-G1,1
DB03010,CELL_DRUG,no-11,1
DB03010,CELL_DRUG,NOMO-1,1
DB03010,CELL_DRUG,no-10,1
DB03010,CELL_DRUG,NTERA-2-cl-D1,1
DB03010,CELL_DRUG,NUGC-3,1
DB03010,CELL_DRUG,NCI-H747,1
DB03010,CELL_DRUG,NCI-H596,1
DB03010,CELL_DRUG,NCI-H441,1
DB03010,CELL_DRUG,NCI-H1793,1
DB03010,CELL_DRUG,NCI-H358,1
DB03010,CELL_DRUG,NCI-H1155,1
DB03010,CELL_DRUG,NCI-H1436,1
DB03010,CELL_DRUG,NCI-H28,1
DB03010,CELL_DRUG,NCI-H1581,1
DB03010,CELL_DRUG,NCI-H1573,1
DB03010,CELL_DRUG,NCI-H1703,1
DB03010,CELL_DRUG,NCI-H2081,1
DB03010,CELL_DRUG,NCI-H524,1
DB03010,CELL_DRUG,NCI-H748,1
DB03010,CELL_DRUG,ONS-76,1
DB03010,CELL_DRUG,OPM-2,1
DB03010,CELL_DRUG,OS-RC-2,1
DB03010,CELL_DRUG,P12-ICHIKAWA,1
DB03010,CELL_DRUG,P30-OHK,1
DB03010,CELL_DRUG,PA-1,1
DB03010,CELL_DRUG,OCUB-M,1
DB03010,CELL_DRUG,OC-314,1
DB03010,CELL_DRUG,PF-382,1
DB03010,CELL_DRUG,RCM-1,1
DB03010,CELL_DRUG,RD,1
DB03010,CELL_DRUG,REH,1
DB03010,CELL_DRUG,RF-48,1
DB03010,CELL_DRUG,RKO,1
DB03010,CELL_DRUG,RMG-I,1
DB03010,CELL_DRUG,RPMI-2650,1
DB03010,CELL_DRUG,RPMI-6666,1
DB03010,CELL_DRUG,RPMI-8402,1
DB03010,CELL_DRUG,RS4-11,1
DB03010,CELL_DRUG,RT-112,1
DB03010,CELL_DRUG,RVH-421,1
DB03010,CELL_DRUG,Saos-2,1
DB03010,CELL_DRUG,SF126,1
DB03010,CELL_DRUG,SH-4,1
DB03010,CELL_DRUG,SIG-M5,1
DB03010,CELL_DRUG,SJRH30,1
DB03010,CELL_DRUG,SJSA-1,1
DB03010,CELL_DRUG,SK-CO-1,1
DB03010,CELL_DRUG,SK-HEP-1,1
DB03010,CELL_DRUG,SK-LMS-1,1
DB03010,CELL_DRUG,SK-LU-1,1
DB03010,CELL_DRUG,SK-MEL-3,1
DB03010,CELL_DRUG,SK-MEL-30,1
DB03010,CELL_DRUG,SK-MES-1,1
DB03010,CELL_DRUG,SK-MG-1,1
DB03010,CELL_DRUG,SK-PN-DW,1
DB03010,CELL_DRUG,SK-UT-1,1
DB03010,CELL_DRUG,SNG-M,1
DB03010,CELL_DRUG,SNU-387,1
DB03010,CELL_DRUG,SNU-423,1
DB03010,CELL_DRUG,SNU-449,1
DB03010,CELL_DRUG,SNU-475,1
DB03010,CELL_DRUG,SNU-C2B,1
DB03010,CELL_DRUG,SU-DHL-1,1
DB03010,CELL_DRUG,SUP-T1,1
DB03010,CELL_DRUG,SW13,1
DB03010,CELL_DRUG,SW1088,1
DB03010,CELL_DRUG,SW1463,1
DB03010,CELL_DRUG,SW1710,1
DB03010,CELL_DRUG,SW1783,1
DB03010,CELL_DRUG,SW48,1
DB03010,CELL_DRUG,SW626,1
DB03010,CELL_DRUG,SW837,1
DB03010,CELL_DRUG,SW872,1
DB03010,CELL_DRUG,SW948,1
DB03010,CELL_DRUG,SW962,1
DB03010,CELL_DRUG,SW982,1
DB03010,CELL_DRUG,T84,1
DB03010,CELL_DRUG,TGBC1TKB,1
DB03010,CELL_DRUG,TGBC11TKB,1
DB03010,CELL_DRUG,THP-1,1
DB03010,CELL_DRUG,TUR,1
DB03010,CELL_DRUG,TYK-nu,1
DB03010,CELL_DRUG,U-698-M,1
DB03010,CELL_DRUG,UACC-893,1
DB03010,CELL_DRUG,UMC-11,1
DB03010,CELL_DRUG,VM-CUB-1,1
DB03010,CELL_DRUG,VMRC-RCZ,1
DB03010,CELL_DRUG,WSU-NHL,1
DB03010,CELL_DRUG,YH-13,1
DB03010,CELL_DRUG,RCC10RGB,1
DB03010,CELL_DRUG,KURAMOCHI,1
DB03010,CELL_DRUG,KM-H2,1
DB03010,CELL_DRUG,OE19,1
DB03010,CELL_DRUG,NCI-H838,1
DB03010,CELL_DRUG,Ramos-2G6-4C10,1
DB03010,CELL_DRUG,RPMI-8866,1
DB03010,CELL_DRUG,QIMR-WIL,1
DB03010,CELL_DRUG,PSN1,1
DB03010,CELL_DRUG,OAW-42,1
DB03010,CELL_DRUG,OE33,1
DB03010,CELL_DRUG,CMK,1
DB03010,CELL_DRUG,CHP-126,1
DB03010,CELL_DRUG,CGTH-W-1,1
DB03010,CELL_DRUG,COLO-320-HSR,1
DB03010,CELL_DRUG,ATN-1,1
DB03010,CELL_DRUG,CESS,1
DB03010,CELL_DRUG,COLO-684,1
DB03010,CELL_DRUG,COLO-668,1
DB03010,CELL_DRUG,TGBC24TKB,1
DB03010,CELL_DRUG,A388,1
DB03010,CELL_DRUG,BFTC-909,1
DB03010,CELL_DRUG,C2BBe1,1
DB03010,CELL_DRUG,SCC-25,1
DB03010,CELL_DRUG,CA46,1
DB03010,CELL_DRUG,AU565,1
DB03010,CELL_DRUG,BL-41,1
DB03010,CELL_DRUG,BV-173,1
DB03010,CELL_DRUG,IA-LM,1
DB03010,CELL_DRUG,TGW,1
DB03010,CELL_DRUG,AN3-CA,1
DB03010,CELL_DRUG,A204,1
DB03010,CELL_DRUG,NY,1
DB03010,CELL_DRUG,C3A,1
DB03010,CELL_DRUG,A427,1
DB03010,CELL_DRUG,CAL-85-1,1
DB03010,CELL_DRUG,CHL-1,1
DB03010,CELL_DRUG,NCI-H1651,1
DB03010,CELL_DRUG,RPMI-7951,1
DB03010,CELL_DRUG,SCC-4,1
DB03010,CELL_DRUG,ST486,1
DB03010,CELL_DRUG,SW1990,1
DB03010,CELL_DRUG,SCC-15,1
DB03010,CELL_DRUG,CAPAN-2,1
DB03010,CELL_DRUG,CAL-27,1
DB03010,CELL_DRUG,BC-3,1
DB03010,CELL_DRUG,BC-1,1
DB03010,CELL_DRUG,A704,1
DB03010,CELL_DRUG,A101D,1
DB03010,CELL_DRUG,769-P,1
DB03010,CELL_DRUG,23132-87,1
DB03010,CELL_DRUG,A431,1
DB03010,CELL_DRUG,BFTC-905,1
DB03010,CELL_DRUG,CAL-51,1
DB03010,CELL_DRUG,SCC-3,1
DB03010,CELL_DRUG,RERF-LC-MS,1
DB03010,CELL_DRUG,GAK,1
DB03010,CELL_DRUG,AM-38,1
DB03010,CELL_DRUG,A4-Fuk,1
DB03010,CELL_DRUG,A3-KAW,1
DB03010,CELL_DRUG,DOK,1
DB03010,CELL_DRUG,COR-L279,1
DB03010,CELL_DRUG,NEC8,1
DB03010,CELL_DRUG,CAS-1,1
DB03010,CELL_DRUG,ALL-PO,1
DB03010,CELL_DRUG,OCI-AML2,1
DB03010,CELL_DRUG,EFO-21,1
DB03010,CELL_DRUG,LS-1034,1
DB03010,CELL_DRUG,22RV1,1
DB03010,CELL_DRUG,8505C,1
DB03010,CELL_DRUG,B-CPAP,1
DB03010,CELL_DRUG,BPH-1,1
DB03010,CELL_DRUG,CAL-148,1
DB03010,CELL_DRUG,CAL-39,1
DB03010,CELL_DRUG,CaR-1,1
DB03010,CELL_DRUG,HDLM-2,1
DB03010,CELL_DRUG,HO-1-N-1,1
DB03010,CELL_DRUG,HTC-C3,1
DB03010,CELL_DRUG,KGN,1
DB03010,CELL_DRUG,KLE,1
DB03010,CELL_DRUG,K5,1
DB03010,CELL_DRUG,L-363,1
DB03010,CELL_DRUG,MDA-MB-415,1
DB03010,CELL_DRUG,NCI-H1975,1
DB03010,CELL_DRUG,SW954,1
DB03010,CELL_DRUG,TE-441-T,1
DB03010,CELL_DRUG,MMAc-SF,1
DB03010,CELL_DRUG,MKN45,1
DB03010,CELL_DRUG,NCI-H810,1
DB03010,CELL_DRUG,MFH-ino,1
DB03010,CELL_DRUG,NOS-1,1
DB03010,CELL_DRUG,PANC-03-27,1
DB03010,CELL_DRUG,PANC-08-13,1
DB03010,CELL_DRUG,PANC-10-05,1
DB03010,CELL_DRUG,SKG-IIIa,1
DB03010,CELL_DRUG,TE-9,1
DB03010,CELL_DRUG,TE-11,1
DB03010,CELL_DRUG,TE-6,1
DB03010,CELL_DRUG,TE-12,1
DB03010,CELL_DRUG,YT,1
DB03010,CELL_DRUG,BT-474,1
DB03010,CELL_DRUG,OAW-28,1
DB03010,CELL_DRUG,LCLC-97TM1,1
DB03010,CELL_DRUG,KP-N-YS,1
DB03010,CELL_DRUG,D-263MG,1
DB03010,CELL_DRUG,D-392MG,1
DB03010,CELL_DRUG,D-423MG,1
DB03010,CELL_DRUG,D-566MG,1
DB03010,CELL_DRUG,CAMA-1,1
DB03010,CELL_DRUG,CTB-1,1
DB03010,CELL_DRUG,Caov-4,1
DB03010,CELL_DRUG,M059J,1
DB03010,CELL_DRUG,HAL-01,1
DB03010,CELL_DRUG,OMC-1,1
DB03010,CELL_DRUG,ES8,1
DB03010,CELL_DRUG,ES4,1
DB03010,CELL_DRUG,ES6,1
DB03010,CELL_DRUG,ES1,1
DB03010,CELL_DRUG,EW-7,1
DB03010,CELL_DRUG,EW-1,1
DB03010,CELL_DRUG,EW-18,1
DB03010,CELL_DRUG,EW-16,1
DB03010,CELL_DRUG,EW-13,1
DB03010,CELL_DRUG,NB10,1
DB03010,CELL_DRUG,NB12,1
DB03010,CELL_DRUG,NB6,1
DB03010,CELL_DRUG,NB7,1
DB03010,CELL_DRUG,NB5,1
DB03010,CELL_DRUG,NB13,1
DB03010,CELL_DRUG,NB14,1
DB03010,CELL_DRUG,NB1,1
DB03010,CELL_DRUG,RH-1,1
DB03010,CELL_DRUG,MZ2-MEL,1
DB03010,CELL_DRUG,LS-180,1
DB03010,CELL_DRUG,BICR22,1
DB03010,CELL_DRUG,BICR78,1
DB03010,CELL_DRUG,CCK-81,1
DB03010,CELL_DRUG,EN,1
DB03010,CELL_DRUG,ES-2,1
DB03010,CELL_DRUG,NCI-H2591,1
DB03010,CELL_DRUG,NCI-H2595,1
DB03010,CELL_DRUG,NCI-H2804,1
DB03010,CELL_DRUG,NCI-H2869,1
DB03010,CELL_DRUG,NCI-H290,1
DB03010,CELL_DRUG,NCI-H3118,1
DB03010,CELL_DRUG,HARA,1
DB03010,CELL_DRUG,HCC-15,1
DB03010,CELL_DRUG,HCC-44,1
DB03010,CELL_DRUG,HCC-827,1
DB03010,CELL_DRUG,Hep3B2-1-7,1
DB03010,CELL_DRUG,Hs-633T,1
DB03010,CELL_DRUG,Hs-683,1
DB03010,CELL_DRUG,IGR-37,1
DB03010,CELL_DRUG,IHH-4,1
DB03010,CELL_DRUG,IM-95,1
DB03010,CELL_DRUG,JHH-2,1
DB03010,CELL_DRUG,JHH-4,1
DB03010,CELL_DRUG,JHH-6,1
DB03010,CELL_DRUG,JHH-7,1
DB03010,CELL_DRUG,JHU-011,1
DB03010,CELL_DRUG,KYM-1,1
DB03010,CELL_DRUG,KYSE-220,1
DB03010,CELL_DRUG,LN-18,1
DB03010,CELL_DRUG,LN-229,1
DB03010,CELL_DRUG,LNZTA3WT4,1
DB03010,CELL_DRUG,MDA-MB-436,1
DB03010,CELL_DRUG,MDST8,1
DB03010,CELL_DRUG,MFE-319,1
DB03010,CELL_DRUG,ML-1,1
DB03010,CELL_DRUG,MS751,1
DB03010,CELL_DRUG,NB(TU)1-10,1
DB03010,CELL_DRUG,NCI-H1836,1
DB03010,CELL_DRUG,NCI-H1915,1
DB03010,CELL_DRUG,NCI-H1944,1
DB03010,CELL_DRUG,NCI-H211,1
DB03010,CELL_DRUG,NCI-H3122,1
DB03010,CELL_DRUG,NCI-H647,1
DB03010,CELL_DRUG,NCI-H841,1
DB03010,CELL_DRUG,NCI-H847,1
DB03010,CELL_DRUG,OSC-20,1
DB03010,CELL_DRUG,OV-90,1
DB03010,CELL_DRUG,OVISE,1
DB03010,CELL_DRUG,OVMIU,1
DB03010,CELL_DRUG,PA-TU-8988T,1
DB03010,CELL_DRUG,PC-3_[JPC-3],1
DB03010,CELL_DRUG,PCI-15A,1
DB03010,CELL_DRUG,PCI-38,1
DB03010,CELL_DRUG,PCI-6A,1
DB03010,CELL_DRUG,PL18,1
DB03010,CELL_DRUG,RERF-GC-1B,1
DB03010,CELL_DRUG,RH-41,1
DB03010,CELL_DRUG,SISO,1
DB03010,CELL_DRUG,SKN,1
DB03010,CELL_DRUG,SNU-182,1
DB03010,CELL_DRUG,SNU-398,1
DB03010,CELL_DRUG,SU8686,1
DB03010,CELL_DRUG,SUIT-2,1
